CFOP;Descrição
1101;Compra para industrialização
1102;Compra para comercialização
1111;Compra para industrialização de mercadoria recebida anteriormente em consignação industrial
1113;Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil
1116;Compra para industrialização originada de encomenda para recebimento futuro
1117;Compra para comercialização originada de encomenda para recebimento futuro
1118;Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem
1120;Compra para industrialização, em venda à ordem, já recebida do vendedor remetente
1121;Compra para comercialização, em venda à ordem, já recebida do vendedor remetente
1122;Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente
1124;Industrialização efetuada por outra empresa
1125;Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria
1126;Compra para utilização na prestação de serviço
1128;Compra para utilização na prestação de serviço sujeita ao ISSQN
1151;Transferência para industrialização
1152;Transferência para comercialização
1153;Transferência de energia elétrica para distribuição
1154;Transferência para utilização na prestação de serviço
1201;Devolução de venda de produção do estabelecimento
1202;Devolução de venda de mercadoria adquirida ou recebida de terceiros
1203;Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
1204;Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
1205;Anulação de valor relativo à prestação de serviço de comunicação
1206;Anulação de valor relativo à prestação de serviço de transporte
1207;Anulação de valor relativo à venda de energia elétrica
1208;Devolução de produção do estabelecimento, remetida em transferência
1209;Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência
1251;Compra de energia elétrica para distribuição ou comercialização
1252;Compra de energia elétrica por estabelecimento industrial
1253;Compra de energia elétrica por estabelecimento comercial
1254;Compra de energia elétrica por estabelecimento prestador de serviço de transporte
1255;Compra de energia elétrica por estabelecimento prestador de serviço de comunicação
1256;Compra de energia elétrica por estabelecimento de produtor rural
1257;Compra de energia elétrica para consumo por demanda contratada
1301;Aquisição de serviço de comunicação para execução de serviço da mesma natureza
1302;Aquisição de serviço de comunicação por estabelecimento industrial
1303;Aquisição de serviço de comunicação por estabelecimento comercial
1304;Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte
1305;Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica
1306;Aquisição de serviço de comunicação por estabelecimento de produtor rural
1351;Aquisição de serviço de transporte para execução de serviço da mesma natureza
1352;Aquisição de serviço de transporte por estabelecimento industrial
1353;Aquisição de serviço de transporte por estabelecimento comercial
1354;Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação
1355;Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica
1356;Aquisição de serviço de transporte por estabelecimento de produtor rural
1360;Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte.
1401;Compra para industrialização em operação com mercadoria sujeita ao regime de substituição tributária
1403;Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
1406;Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária
1407;Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária
1408;Transferência para industrialização em operação com mercadoria sujeita ao regime de substituição tributária
1409;Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
1410;Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária
1411;Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária
1414;Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária
1415;Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária
1451;Retorno de animal do estabelecimento produtor
1452;Retorno de insumo não utilizado na produção
1501;Entrada de mercadoria recebida com fim específico de exportação
1503;Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento
1504;Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros
1505;Entrada decorrente de devolução simbólica de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.
1506;Entrada decorrente de devolução simbólica de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação.
1551;Compra de bem para o ativo imobilizado
1552;Transferência de bem do ativo imobilizado
1553;Devolução de venda de bem do ativo imobilizado
1554;Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento
1555;Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento
